week,Bug/Error,Infrastructure/Deployment Problem,Question/Help Request,Status Update,Test Failure
2023-04-17,2,0,3,0,1
2023-05-01,0,2,1,1,2
2023-05-15,0,1,0,0,0
2023-05-22,4,1,5,5,9
2023-05-29,4,2,0,2,2
2023-06-05,2,0,0,0,1
2023-06-12,3,0,2,3,0
2023-06-19,3,1,7,2,2
2023-07-03,2,1,0,3,2
2023-07-10,2,0,3,2,0
2023-07-24,0,0,0,0,1
2023-07-31,0,0,1,2,1
2023-08-07,8,3,3,3,2
2023-08-14,17,1,4,2,2
2023-08-21,1,1,4,1,3
2023-08-28,0,0,1,0,2
2023-09-11,2,1,2,0,2
2023-09-18,6,2,2,0,4
2023-09-25,12,0,3,2,3
2023-10-02,5,0,0,4,1
2023-10-09,0,0,0,0,2
2023-10-16,0,0,4,3,2
2023-10-23,9,5,3,4,3
2023-10-30,1,0,0,0,1
2023-11-06,0,0,1,0,1
2023-12-04,0,1,3,3,0
2023-12-11,1,2,1,3,1
2023-12-18,1,0,1,0,1
2024-01-08,0,1,0,1,0
2024-01-22,3,0,0,0,0
2024-02-12,3,1,2,5,1
2024-02-26,2,1,0,0,4
2024-03-04,0,1,1,0,1
2024-03-11,0,2,1,1,0
2024-03-18,1,2,4,1,1
2024-03-25,1,0,4,3,5
2024-04-01,0,1,0,1,0
2024-04-08,0,2,0,0,0
2024-04-15,1,1,1,1,3
2024-04-22,2,1,0,2,1
2024-04-29,1,1,0,0,1
2024-05-06,7,10,5,4,7
2024-05-13,3,3,4,6,4
2024-05-20,14,4,8,6,5
2024-05-27,2,0,1,0,0
2024-06-03,4,2,2,4,4
2024-06-10,2,0,2,0,1
2024-06-17,1,2,2,1,7
2024-06-24,3,2,4,2,2
2024-07-01,0,0,0,0,1
2024-07-08,0,1,0,0,1
2024-07-15,5,0,0,0,6
2024-07-22,6,2,9,7,4
2024-07-29,6,2,7,6,2
2024-08-05,5,4,5,6,8
2024-08-12,1,1,2,2,4
2024-08-19,10,1,5,6,2
2024-08-26,3,0,2,3,3
2024-09-02,1,0,0,0,2
2024-09-09,4,0,4,4,4
2024-09-16,4,2,4,2,5
2024-09-23,2,1,2,1,3
2024-09-30,0,1,0,2,3
2024-10-07,2,2,3,1,4
2024-10-14,6,2,0,2,4
2024-10-21,0,0,1,0,0
2024-10-28,0,1,1,0,1
2024-11-04,2,0,2,2,2
2024-11-11,8,5,4,8,5
2024-11-18,3,6,2,5,5
2024-11-25,1,0,0,0,3
2024-12-02,7,4,3,0,0
2024-12-09,14,9,8,6,5
2024-12-16,31,6,10,15,13
2024-12-23,1,0,0,0,0
2024-12-30,0,0,1,0,1
2025-01-13,1,0,0,0,0
2025-01-20,2,2,6,5,2
2025-01-27,2,2,2,0,0
2025-02-03,1,4,4,3,0
2025-02-10,3,4,4,2,1
2025-02-17,17,8,8,13,13
2025-02-24,6,4,7,4,1
2025-03-03,1,3,3,0,4
2025-03-10,7,4,2,2,5
2025-03-17,0,2,1,0,1
2025-03-24,5,2,5,3,22
2025-03-31,0,1,0,1,1
2025-04-07,3,0,0,0,5
2025-04-14,2,7,2,2,3
2025-04-21,5,1,3,1,2
2025-04-28,2,2,0,1,5
2025-05-05,5,8,9,7,2
2025-05-12,6,4,2,2,2
2025-05-26,5,1,2,2,1
2025-06-02,3,2,3,4,2
2025-06-09,5,1,2,2,10
2025-06-16,15,8,4,12,5
2025-06-23,7,2,1,2,1
2025-06-30,13,2,4,5,1
2025-07-07,13,7,6,4,2
2025-07-14,4,2,4,1,0
2025-07-21,24,12,8,12,4
2025-07-28,11,17,5,6,4
2025-08-04,23,24,18,22,13
2025-08-11,8,5,2,8,1
2025-08-18,5,4,7,6,7
2025-08-25,0,0,0,1,0
2025-09-01,6,7,2,8,0
2025-09-08,1,5,0,3,0
2025-09-15,3,10,10,9,11
2025-09-22,13,8,5,16,2
2025-09-29,10,4,4,1,2
2025-10-06,13,12,3,5,7
2025-10-13,28,28,7,16,3
2025-10-20,13,3,2,10,3
2025-10-27,6,1,1,1,0
2025-11-03,4,1,2,3,0
2025-11-10,6,2,2,5,5
2025-11-17,9,3,6,5,2
2025-11-24,0,0,0,1,0
2025-12-01,8,1,6,4,3
2025-12-08,10,3,3,5,2
2025-12-15,8,1,2,1,3
2025-12-22,1,1,0,2,0
2026-01-05,6,2,1,3,0
2026-01-12,10,4,7,3,3
2026-01-19,14,5,4,9,3
2026-01-26,3,5,1,0,0
2026-02-02,1,2,4,3,2
2026-02-09,4,4,3,2,3
2026-02-16,7,1,2,2,4
2026-02-23,6,9,7,7,6
2026-03-02,14,6,3,2,1
2026-03-09,7,5,2,5,3
2026-03-16,11,5,2,3,4
2026-03-23,15,25,6,30,4
2026-03-30,6,5,5,1,4
2026-04-06,2,3,2,0,4
2026-04-13,2,1,3,2,5
