category,replies,originals
Bug/Error,307,401
Status Update,354,107
Infrastructure/Deployment Problem,212,216
Question/Help Request,260,141
Test Failure,119,279
Uncategorized,232,151
Off-topic/General Chat,287,80
Code Review,86,205
Task Assignment,40,101
Image/Attachment Share,68,62
Release/Deployment Status,57,22
Team Announcement,39,40
Performance Issue,31,44
QA/Testing Issue,34,18
Blocker/Dependency,33,12
Timeline/Deadline Update,25,13
Knowledge Sharing,22,7
Link Share,14,12
Security Concern,16,9
Tutorial/How-to,11,9
Documentation Request,10,6
Enhancement/Optimization,11,4
Meeting Notification,2,6
Technical Debt,1,6
Best Practice/Guideline,2,4
Discussion/Brainstorm,1,1
Feature Request,1,0
