category,total_threads,threads_with_reply,avg_response_minutes,median_response_minutes,p90_response_minutes,response_coverage_pct
Meeting Notification,6,1,2.3147499999999996,2.3147499999999996,2.3147499999999996,16.666666666666664
Knowledge Sharing,7,2,9.114775000000002,9.114775000000002,10.555128333333334,28.57142857142857
Security Concern,9,1,19.1737,19.1737,19.1737,11.11111111111111
Discussion/Brainstorm,1,1,20.541666666666668,20.541666666666668,20.541666666666668,100.0
Documentation Request,6,4,29.8292875,23.773983333333334,56.80422666666667,66.66666666666666
Code Review,205,139,131.1355324940048,13.555166666666667,477.00795000000005,67.8048780487805
Link Share,12,3,134.05363333333335,2.0391333333333335,319.9383333333334,25.0
Release/Deployment Status,22,8,210.24811041666666,57.46391666666666,530.7911616666665,36.36363636363637
Enhancement/Optimization,4,2,219.51045000000002,219.51045000000002,369.5288233333334,50.0
Status Update,107,34,226.81392892156862,41.716858333333334,259.93104,31.775700934579437
Team Announcement,40,10,227.84302499999998,63.170475,864.5824866666666,25.0
Task Assignment,101,4,413.8250791666667,374.9065833333333,853.0130750000001,3.9603960396039604
Performance Issue,44,20,474.0841675,21.67301666666667,1113.1641000000036,45.45454545454545
Image/Attachment Share,62,12,569.3875013888888,14.215633333333333,309.18046833333335,19.35483870967742
Timeline/Deadline Update,13,5,855.7272399999999,155.08579999999998,2331.947086666667,38.46153846153847
Uncategorized,151,15,1080.8870244444445,9.013883333333332,1755.7829199999992,9.933774834437086
Off-topic/General Chat,80,5,1317.2697933333334,11.276216666666667,3687.411526666667,6.25
Tutorial/How-to,9,3,2624.0212944444443,18.10666666666667,6285.502,33.33333333333333
Best Practice/Guideline,4,0,,,,0.0
Technical Debt,6,0,,,,0.0
