TAB NAME,Section and/or ROW,#,Question to MGRC,Type,Priority,Source Reference,Justification
Scope & Transition,General,1,"Can MGRC provide a breakdown of current monthly ticket/service request volume by application area (Salesforce, Oracle Fusion, OCI, NexSTAR, integrations, etc.) and by priority level (P1-P4) for the trailing 12 months?",ORIGINAL,Standard,v02 Q1,Essential for cost model.
Scope & Transition,General,2,What is the current FTE count (internal and external/contractor) supporting each application area today? How many of these resources are expected to transition to the MSP or depart during the onboarding period?,ORIGINAL,Standard,v02 Q2,Standard scoping for team size.
Scope & Transition,KT Phase,3,"For the Knowledge Transfer phase (May 18 - July 6), will MGRC's current support resources remain fully available to shadow and co-work with MSP staff during the entire transition period, or is there an expected ramp-down schedule?",ORIGINAL,Standard,v02 Q3,Coverage gap risk if staff leave before KT complete.
Scope & Transition,Integrations,94,"The architecture shows 50+ integrations across Oracle Cloud, Salesforce, RecVue, and external systems. Can MGRC provide: (a) an inventory of integrations with stability status (stable/active development/recurring issues), (b) error/failure rates for top integrations, and (c) when integration issues arise, who owns first-level triage vs. middleware team vs. external vendor coordination?",MERGED,Must-Ask,v02 Q5+Q8 + architecture.md,Integration ownership is major scope ambiguity. Row 94 (OIC Incident Management) shows NO ownership assignment.
Scope & Transition,OCI Hours,46-60,"The RFP notes OCI effort is estimated at under 1,000 hours annually. The Specific Requirements show 15 categories for OCI alone. Does the 1,000-hour estimate cover all categories or only Operational Day-to-Day? Can MGRC provide similar estimates for Oracle Fusion and NexSTAR?",ENHANCED,Must-Ask,v02 Q6 + rows 46-60,Scope could be 2-3x higher than stated.
Scope & Transition,Staffing Model,116-117,"What is the current onshore/offshore distribution of support resources? Does MGRC require dedicated named resources assigned exclusively to MGRC, or is a shared/pooled resource model with guaranteed response SLAs acceptable?",MERGED,Must-Ask,v02 Q7+Q19 + rows 116-117,Named resources = $500K+ annual pricing difference vs. pooled.
Scope & Transition,Timeline,4,Is the July 6 go-live date firm or is there potential for schedule adjustment? What contingency exists if the Oracle Fusion go-live extends past May 18?,ORIGINAL,Standard,v02 Q9,Shows dependency awareness.
Scope & Transition,Vendor Transition,5,As MGRC consolidates vendor relationships what is the expected timeline for transitioning work from exiting vendors to the selected MSP(s)? Will the MSP be responsible for any transition activities from other vendors?,ORIGINAL,Standard,v02 Q10,Hidden scope risk.
Scope & Transition,Documentation,6,"Can MGRC characterize the current state of operational documentation for each application area? Specifically for NexSTAR (custom 24x7 app), Material Voucher (Java app in architecture), and RecVue (billing hub) - what documentation exists for technology stack, codebase, and integration patterns?",ENHANCED,High,v02 Q11 + architecture.md,Custom apps are highest KT risk.
Scope & Transition,Integration Platforms,91-115,"The Specific Requirements include separate sections for OIC and MuleSoft. Can MGRC clarify: (a) the strategic division of workloads between platforms, (b) expected ratio of MSP effort between them, and (c) whether there are plans to consolidate to a single platform?",NEW: Technical,Must-Ask,rows 91-115,Dual platforms = dual skill sets = higher staffing cost.
Evaluation & Selection,Criteria Weighting,7,"Can MGRC share the relative weighting or ranking of the evaluation criteria (expertise, completeness, customer service, governance, vendor strength, compliance, value/TCO)?",ORIGINAL,Standard,v02 Q12,Shapes proposal emphasis.
Evaluation & Selection,Provider Model,8,Does MGRC have a preference between a single MSP provider across all solution areas versus multiple providers with complementary coverage?,ORIGINAL,Standard,v02 Q13,Critical strategic question.
Evaluation & Selection,AI/Automation,9,What role does MGRC envision AI and automation playing in managed services over the next 2-3 years? Are there specific areas where automation is a priority?,ORIGINAL,Standard,v02 Q15,Levels the field on AI positioning.
Staffing & Resource Model,After-Hours Pipeline,142-145,"For after-hours data pipeline monitoring (10 PM - 7 AM PT), what is the typical nightly volume of pipeline runs and frequency of interventions? Is coverage required 7 days/week including holidays, and is the expectation for active monitoring (dedicated shift) or on-call response?",MERGED,Must-Ask,v02 Q17 + rows 142-145,Dedicated overnight = 1.5-2 FTE. On-call = 0.25-0.5 FTE.
Staffing & Resource Model,Oracle Fusion Close,34,"For Oracle Fusion period-close activities (GL, AP, AR, Inventory, Costing), can MGRC provide monthly volumes and clarify the expected MSP role: executing close processes (running jobs, reconciliation) vs. providing on-call support? Are after-hours or weekend close activities expected?",MERGED,Must-Ask,v02 Q19+Q26 + row 34,Close execution = dedicated resources. Support = much lower effort.
Staffing & Resource Model,Third-Party Vendors,10,"Will the MSP be expected to coordinate with or manage relationships with third-party vendors (Oracle support, MuleSoft support, implementation partners)? If so can MGRC provide a list of current vendors and their support scope?",ORIGINAL,Standard,v02 Q21,Potential high-value scope.
Technology & Environment,ServiceNow Migration,11,What is the expected timeline for migration from FreshService to ServiceNow? Will the MSP support both platforms during transition and play a role in the ServiceNow implementation itself?,MERGED,Standard,v02 Q22+Q30,Dual-platform = different scope.
Technology & Environment,NexSTAR,77-90,"For NexSTAR (custom application with 24x7 requirement), can MGRC provide documentation on technology stack, codebase language/framework, architecture diagrams, known technical debt, and deployment pipeline? Will the MSP have full source code access?",ORIGINAL,Must-Ask,v02 Q23,Custom apps are highest risk.
Technology & Environment,PCI Scope,161-172,"For Customer Hub (nopCommerce), can MGRC clarify the PCI compliance scope: (a) does it process/store credit card data directly or redirect to a payment processor, (b) is the MSP expected to maintain PCI certification or support MGRC's audit process, and (c) what is the expected vulnerability scanning cadence?",MERGED,High,v02 Q24+Q36 + rows 161-172,SAQ-D vs SAQ-A = massive difference in audit effort.
Technology & Environment,Test Automation,12,What is the current state of test automation for regression smoke and integration testing? Would MGRC be interested in the MSP introducing automation capabilities?,ORIGINAL,Standard,v02 Q26,Probes automation appetite.
Technology & Environment,Security Operations,13,Does MGRC have existing SIEM/SOC capabilities or will the MSP be expected to provide security monitoring and incident response?,ORIGINAL,Standard,v02 Q27,Could be large hidden scope.
Technology & Environment,Disaster Recovery,14,"For critical systems (Oracle Fusion, NexSTAR, Customer Hub) what are the RTO/RPO targets? How often are DR tests conducted and will the MSP plan and run those drills?",ORIGINAL,Standard,v02 Q28,DR testing effort varies widely.
Technology & Environment,RecVue Billing,17+28,"RecVue sits between Salesforce and Oracle ERP as a billing hub. Can MGRC provide: (a) monthly billing cycle volume, (b) typical exception rate, and (c) whether RecVue is SaaS-hosted (vendor DR) or self-hosted (MSP DR responsibility)?",MERGED,Must-Ask,architecture.md + rows 17 and 28,Row 17 marks RecVue Day-to-Day as MSP Owned. Hosting affects DR scope.
Technology & Environment,Material Voucher App,Arch,"The architecture shows a Material Voucher (Java Application) connected to Oracle SCM Inventory. Is this application in scope for MSP support or retained by MGRC? If in scope, where is it hosted and who owns the source code?",NEW: Architecture,High,architecture.md,Custom Java app - need to know if Java developers required.
Technology & Environment,Multi-CRM,Arch,The architecture shows Salesforce plus Oracle CRM on Demand and Nextstar. Are Oracle CRM on Demand and Nextstar being retired or will the MSP support all three platforms?,NEW: Architecture,High,architecture.md,Three CRM platforms = 3x support complexity.
SLA & KPI,Response vs Resolution,SLA,"The SLA defines response time targets (15 min for P1, 60-120 min for P2). Are there also defined resolution time SLAs? If yes, what are target resolution times for each priority level?",NEW: SLA/KPI,High,sla.csv,Response is achievable. Resolution depends on issue complexity.
SLA & KPI,Non-Compliance Consequences,SLA,"What are the consequences when SLA compliance falls below objectives (95% for P1, 90% for P2-P4)? Are there service credits, penalty clauses, or remediation requirements?",NEW: SLA/KPI,Must-Ask,sla.csv,Determines financial risk exposure.
SLA & KPI,Historical Baseline,KPI,Can MGRC provide historical performance data (past 6-12 months) for Average Resolution Time and SLA Compliance Rate to help set realistic targets?,NEW: SLA/KPI,High,kpi.csv,Prevents committing to unachievable targets.
Compliance & Audit,Audit Calendar,15,Can MGRC provide a calendar of compliance audits scheduled for the next 12 months and clarify which audits the MSP will support or lead evidence gathering for?,ORIGINAL,Standard,v02 Q29,8 compliance frameworks listed.
Compliance & Audit,Framework Prioritization,GenReq-11,"The General Requirements reference NIST, SOC2, HIPAA, PCI, GDPR, CMMC. Which frameworks are mandatory today vs. aspirational? Specifically, does MGRC process HIPAA data or require CMMC certification?",NEW: Technical,High,general_requirements.csv section 11,HIPAA/CMMC have major staffing implications.
Commercial & Contractual,Budget Range,16,Does MGRC have a target budget range or not-to-exceed threshold for the MSP engagement?,ORIGINAL,Standard,v02 Q30,Rarely answered but worth asking.
Commercial & Contractual,Pricing Model,17,Is MGRC open to pricing models that combine fixed operational support with variable capacity for enhancement and project work?,ORIGINAL,Standard,v02 Q31,Gets intel on commercial flexibility.
Commercial & Contractual,Multi-Year Pricing,18,For multi-year pricing does MGRC expect flat pricing across Years 1-3 or is there flexibility in how pricing is structured year-over-year?,ORIGINAL,Standard,v02 Q32,Gets intel on pricing structure.
Commercial & Contractual,Shared Responsibility,150+,"For items designated as Shared Responsibility: (a) can MGRC define what Shared means operationally (who initiates, executes, approves), (b) will RACI be finalized before contract execution or during Phase 1, and (c) how will scope disputes be resolved?",MERGED,Must-Ask,v02 Q33+Q56 + 150+ rows,150+ of 183 requirements are Shared. Without RACI scope disputes are inevitable.
Commercial & Contractual,Scope Changes,19,"For scope changes after contract execution (new integrations, acquisitions, upgrades), what is MGRC's change request process? Will these be priced separately or absorbed into base contract?",ORIGINAL,Standard,v02 Q34,Protects against scope creep.
Commercial & Contractual,M&A Activity,20,Are there pending acquisitions that would affect MSP scope within the first 12 months? How have M&A integrations historically been handled from a support perspective?,MERGED,Standard,v02 Q35+Q36,M&A onboarding listed as service domain.
