ID,Question,Yes/No/N/A,Vendor Detailed Response,Attachment Required
1. Overview,,,,
1.1,Company's Legal Name (include DBA).,,,
1.2,Parent Company's Name (if applicable).,,,
1.3,Company's Phone Number.,,,
1.4,Company's URL.,,,
1.5,Business Inception Date.,,,
1.6,Total number of employees.,,,
1.7,"Is your company certified as diverse (i.e. minority owned, women owned, etc.)?",,,
1.7.a,"If Yes, provide details on the types of diverse certification(s) held by the company, and include copies of the relevant certification documents.",,,Yes
1.8,Provide a brief overview of your company.,,,
1.9,Company's Corporate Address.,,,
1.10,Are there multiple corporate and/or primary operating locations?,,,
1.10.a,"If Yes, include an attachment that provides the location's name, address, Legal Entity Name (if different), # Employees and Primary Services provided from each location.",,,Yes
2. Financial Information,,,,
2.1,Is your company Public or Private Company?,,,
2.2,Please provide the Company's Annual Earnings.,,,
2.3,What is your Duns&Bradstreet number?,,,
2.4,Please attached a PDF copy of your W9 (or W8 BEN).,,,Yes
"3. Legal Activities - Merger, Acquisition, Litigation, Regulatory Action",,,,
3.1,Has your company been involved in any merger or acquisition activities within the past three years?,,,
3.2,"In the previous five years, has the company been a party to litigation alleging that your company violated one or more of the laws or regulations applicable to the products and/or services being offered?",,,
3.3,"If Yes, provide a list of these law suits with a summary overview of each.",,,Yes
4. Proposed Account Management Team,,,,
4.1,"Please provide an attachment that outlines your proposed account management structure including key roles, individuals and proposed governance and review.",,,Yes
4.2,Provide a brief biography of key team members.,,,Yes
5. Hiring & Employment Practices,,,,
5.1,"Please provide an attachment that outlines your hiring policies and onboarding practices. This should include details on background checks, criminal history checks, the timing and frequency of these checks, and any other relevant procedures.",,,Yes
5.2,Please provide a blank copy of your Employee Non-Disclosure Agreement (NDA).,,,Yes
5.3,"Will your company use any third parties (e.g., service providers, subcontractors, etc.) to deliver the products or services proposed for MGRC?",,,
5.4,"If Yes, please attach a complete list of third-party service providers required to support MGRC services. Include a brief description of each provider’s role and indicate whether they will have access to MGRC data and whether those resources are onshore or offshore.",,,Yes
6. Third Party Oversight & Risk Management,,,,
6.1,Does your company have a written Third-Party Risk Management Program?,,,
6.2,"If Yes, please attach a copy of your third-party oversight program or policy documentation.",,,Yes
6.3,Does your company have a System & Organization Controls (SOC) 2 Type 2 report?,,,
6.4,"If Yes, attach a copy.",,,Yes
6.5,"If Yes, does your company have a SOC 2 bridge letter that covers the gap between the SOC report's date and today's date?",,,Yes
6.6,"If Yes, attach a copy.",,,Yes
6.7,"If No, does your company have a SOC 1 Type 2?",,,
6.8,"If Yes, attach a copy.",,,Yes
6.9,Are any regulatory compliance or data security responsibilities extended to third-party sub-servicers involved in delivering the proposed product or service?,,,
6.10,"If Yes, please describe how these responsibilities are managed and enforced.",,,
