Section,Number,Question,Type,Response
,1,Company & Experience,Section Header,
Company & Experience,1.1,How long have you been providing MSP solutions?,Question,
Company & Experience,1.2,What are the general types of organizations your clients represent?,Question,
Company & Experience,1.3,Provide at least three client references or case studies.,Question,
Company & Experience,1.4,Why do you believe that you are a good fit with our organization?,Question,
Company & Experience,1.5,What do you feel your overall strengths and differentiators are?,Question,
Company & Experience,1.6,What services do you offer besides the core services of a Managed Service Provider?,Question,
Company & Experience,1.7,What do you feel are your biggest hurdles to a successful relationship?,Question,
Company & Experience,1.8,What type of general expertise can you provide in key technology areas?,Question,
,2,MSP Methodology,Section Header,
MSP Methodology,2.1,"Provide a narrative of how your company can best fulfill the identified needs of MGRC. Kindly send a clear articulation of what you see as our requirements and how you would meet them, setting out the delivery model you would use for this service including your proposed plan for delivery and any tools or technologies to be used.",Question,
MSP Methodology,2.2,Describe how your company's MSP solution can scale services with MGRC to meet the needs of customer growth and respond to coming cyber threats,Question,
MSP Methodology,2.3,"Provide proposed timelines to implement. Project timelines should detail the project stages and accompanying deliverables from the Vendor, as well as the needs of MGRC. The Vendor must describe the process for acceptance and approval of deliverables, as well as the method for rejection and correction of deliverables.",Question,
MSP Methodology,2.4,"Provide information that demonstrates your customizable solutions with the flexibility to align services to MGRC's specific needs and goals, along with scalability to support the MGRC's growth.",Question,
MSP Methodology,2.5,"What MGRC resources would you require (e.g., information, data, staff resources, communication) during the course of migration and on an ongoing basis?",Question,
MSP Methodology,2.6,"Describe your experience in providing the following services: a. Technical support, including help desk & remote user support b. Technology strategy planning c. Network and email system monitoring d. Move, Add, Change (MAC) e. Warranty, break fixes and installation f. Remote backup and recovery g. Implementation planning and guidance h. On-site implementation of business applications i. Life cycle management of hardware units j. Software licensing control k. Asset management l. Reporting and documentation",Question,
MSP Methodology,2.7,"McGrath favors MSPs who provide maximum flexibility in overall usage and allocation combined with cost favorability. What programs do you offer that allow maximum flexibility of resource and service deployment across maintenance, release management and transformation?",Question,
