1,"This sheet is left intentionally blank. Please insert or copy over your proposal onto this tab. You may also link the file on this tab, if in a different format (Word/Pdf). Please provide a comprehensive cost for all identified deliverables, including implementation. If any items included in the proposal are not included within the total amount being proposed, please identify each item and provide the corresponding cost. Itemize non-recurring and recurring costs. As stated earlier, vendor agrees that its responsive materials (including pricing) will remain valid and applicable for a minimum of six months (or 180 days) from the date vendor's response is received by MGRC.",,,,,,
10,"Phase 1 Onboard: Discovery, Analysis, Knowledge Transfer, Provisioning, Permissions, Risks & Opportunities",,,,,,
11,Pricing Model,Proposed Term,Solution & Services,Price Per Pricing Model (USD),Estimated Hours,Consumption Basis,Comments
17,Limitations: Detail any included capacity and service limits included in above.,,,,,,
18,Solution & Services,,,Limitation or Capacity Item,,Limitation,Per Unit
25,"Optional and Add on Services: Complete A Separate Section For Each Solution Being Proposed Separately (e.g. Salesforce, Mulesoft, NexSTAR)",,,,,,
26,Pricing Model,Proposed Term,Solution & Services,Price Per Pricing Model (USD),Estimated Hours,Consumption Basis,Comments
33,"Assumptions, Dependencies & Exclusions",,,,,,
38,Pricing Summary,,,,,,
39,Total Cost for Phase 1:,,,,,,
40,"Phase 2: Operate, Support and Transform: Ongoing operational support and support of transformation efforts.",,,,,,
41,Pricing Model,Proposed Term,Solution & Services,Price Per Pricing Model (USD),Estimated Hours,Consumption Basis,Comments
53,Limitations: Detail any included capacity and service limits included in above.,,,,,,
54,Solution & Services,,,Limitation or Capacity Item,,Limitation,Per Unit
